번호,증상,위험 질환,검사 제안,"암에 대한 설명 (영문명, 상병코드 및 기본 설명)"
1,유방에 멍울 발견,유방암,유방 촬영술 유방 초음파,Breast Cancer (C50) - 유방의 유관 또는 유엽에서 발생하는 악성 종양으로 여성에서 가장 흔한 암입니다.
2,유두 분비(혈성),유방암,유방 초음파 조직검사,Breast Cancer (C50) - 유방의 유관 또는 유엽에서 발생하는 악성 종양으로 여성에서 가장 흔한 암입니다.
3,유방 피부 변화(발적 함몰),유방암,유방 MRI,Breast Cancer (C50) - 유방의 유관 또는 유엽에서 발생하는 악성 종양으로 여성에서 가장 흔한 암입니다.
4,유두 함몰 또는 비대칭 변화,유방암,유방 초음파,Breast Cancer (C50) - 유방의 유관 또는 유엽에서 발생하는 악성 종양으로 여성에서 가장 흔한 암입니다.
5,겨드랑이 림프절 비대,유방암,유방 초음파 조직검사,Breast Cancer (C50) - 유방의 유관 또는 유엽에서 발생하는 악성 종양으로 여성에서 가장 흔한 암입니다.
6,배변 습관 변화,대장암,대장내시경,Colorectal Cancer (C18-C20) - 대장 또는 직장에서 발생하는 악성 종양으로 초기 증상이 거의 없습니다.
7,혈변,대장암,대장내시경 분변잠혈 검사,Colorectal Cancer (C18-C20) - 대장 또는 직장에서 발생하는 악성 종양으로 초기 증상이 거의 없습니다.
8,만성 변비,대장암,대장내시경,Colorectal Cancer (C18-C20) - 대장 또는 직장에서 발생하는 악성 종양으로 초기 증상이 거의 없습니다.
9,잦은 설사,대장암,대장내시경,Colorectal Cancer (C18-C20) - 대장 또는 직장에서 발생하는 악성 종양으로 초기 증상이 거의 없습니다.
10,복부 팽만감,대장암,대장내시경 CT 검사,Colorectal Cancer (C18-C20) - 대장 또는 직장에서 발생하는 악성 종양으로 초기 증상이 거의 없습니다.
11,만성 기침,폐암,흉부 X선 저선량 CT 스캔,Lung Cancer (C34) - 폐의 기관지 또는 폐포에서 발생하는 악성 종양으로 흡연이 가장 큰 위험 요인입니다.
12,피 섞인 가래,폐암,기관지 내시경,Lung Cancer (C34) - 폐의 기관지 또는 폐포에서 발생하는 악성 종양으로 흡연이 가장 큰 위험 요인입니다.
13,호흡 곤란,폐암,흉부 CT,Lung Cancer (C34) - 폐의 기관지 또는 폐포에서 발생하는 악성 종양으로 흡연이 가장 큰 위험 요인입니다.
14,흉통 또는 가슴 답답함,폐암,흉부 X선,Lung Cancer (C34) - 폐의 기관지 또는 폐포에서 발생하는 악성 종양으로 흡연이 가장 큰 위험 요인입니다.
15,이유 없는 체중 감소,폐암,흉부 CT,Lung Cancer (C34) - 폐의 기관지 또는 폐포에서 발생하는 악성 종양으로 흡연이 가장 큰 위험 요인입니다.
16,비정상적인 질 출혈,자궁경부암,자궁경부 세포검사 HPV 검사,Cervical Cancer (C53) - 자궁경부 세포가 비정상적으로 성장하여 발생하며 HPV 감염이 주요 원인입니다.
17,성교 시 통증,자궁경부암,질 초음파,Cervical Cancer (C53) - 자궁경부 세포가 비정상적으로 성장하여 발생하며 HPV 감염이 주요 원인입니다.
18,비정상적인 질 분비물,자궁경부암,HPV 검사,Cervical Cancer (C53) - 자궁경부 세포가 비정상적으로 성장하여 발생하며 HPV 감염이 주요 원인입니다.
19,하복부 통증,자궁경부암,자궁경부 세포검사,Cervical Cancer (C53) - 자궁경부 세포가 비정상적으로 성장하여 발생하며 HPV 감염이 주요 원인입니다.
20,하지 부종,자궁경부암,골반 초음파,Cervical Cancer (C53) - 자궁경부 세포가 비정상적으로 성장하여 발생하며 HPV 감염이 주요 원인입니다.
21,폐경 후 질 출혈,자궁내막암,자궁내막 조직검사,Endometrial Cancer (C54) - 자궁 내막에서 발생하는 악성 종양으로 호르몬 불균형이 주요 위험 요소입니다.
22,불규칙한 월경,자궁내막암,자궁내막 조직검사,Endometrial Cancer (C54) - 자궁 내막에서 발생하는 악성 종양으로 호르몬 불균형이 주요 위험 요소입니다.
23,성교 후 출혈,자궁내막암,초음파 검사,Endometrial Cancer (C54) - 자궁 내막에서 발생하는 악성 종양으로 호르몬 불균형이 주요 위험 요소입니다.
24,골반 통증,자궁내막암,자궁내막 조직검사,Endometrial Cancer (C54) - 자궁 내막에서 발생하는 악성 종양으로 호르몬 불균형이 주요 위험 요소입니다.
25,분비물 증가,자궁내막암,초음파 검사,Endometrial Cancer (C54) - 자궁 내막에서 발생하는 악성 종양으로 호르몬 불균형이 주요 위험 요소입니다.
26,복부 팽만감,난소암,복부 초음파 CA-125 검사,Ovarian Cancer (C56) - 난소에서 발생하는 악성 종양으로 조기 발견이 어려운 암입니다.
27,하복부 압박감,난소암,복부 CT 초음파,Ovarian Cancer (C56) - 난소에서 발생하는 악성 종양으로 조기 발견이 어려운 암입니다.
28,체중 증가,난소암,CA-125 혈액검사,Ovarian Cancer (C56) - 난소에서 발생하는 악성 종양으로 조기 발견이 어려운 암입니다.
29,소화 불량,난소암,복부 초음파,Ovarian Cancer (C56) - 난소에서 발생하는 악성 종양으로 조기 발견이 어려운 암입니다.
30,복부 불편감,난소암,복부 CT 초음파,Ovarian Cancer (C56) - 난소에서 발생하는 악성 종양으로 조기 발견이 어려운 암입니다.
31,복부 및 등 통증,췌장암,복부 CT 혈액검사,Pancreatic Cancer (C25) - 췌장에서 발생하는 악성 종양으로 예후가 불량한 암입니다.
32,황달(피부 및 눈 흰자 노랗게 변함),췌장암,간 기능 검사 복부 CT,Pancreatic Cancer (C25) - 췌장에서 발생하는 악성 종양으로 예후가 불량한 암입니다.
33,식욕 부진,췌장암,복부 CT,Pancreatic Cancer (C25) - 췌장에서 발생하는 악성 종양으로 예후가 불량한 암입니다.
34,복부 팽만 및 체중 감소,췌장암,복부 초음파 혈액검사,Pancreatic Cancer (C25) - 췌장에서 발생하는 악성 종양으로 예후가 불량한 암입니다.
